Diseases,Deficiency
Molluscum contagiosum,Vitamin A Deficiency
Acne Keloidalis Nuchae,Vitamin A Deficiency
Viral Exanthems,Vitamin A Deficiency
Staphylococcal Folliculitis,Vitamin A Deficiency
Impetigo,Vitamin A Deficiency
Folliculitis,Vitamin A Deficiency
Grover's Disease,Vitamin A Deficiency
Dariers Disease,Vitamin A Deficiency
Actinic Cheilitis,Vitamin A Deficiency
Scabies,Vitamin A Deficiency
Sebaceous Hyperplasia,Vitamin A Deficiency
Epidermal Nevus,Vitamin A Deficiency
Porokeratosis,Vitamin A Deficiency
Beriberi,Vitamin B1 Deficiency
Perleche,Vitamin B2 Deficiency
candidiasis-large-skin-folds,Vitamin B2 Deficiency
Glossitis,Vitamin B2 Deficiency
Red Lunula,Vitamin B2 Deficiency
Allergic Contact Dermatitis,Vitamin B3 Deficiency
Patch Testing,Vitamin B3 Deficiency
Phototoxic reactions,Vitamin B3 Deficiency
Onycholysis,Vitamin B3 Deficiency
Pellagra,Vitamin B3 Deficiency
Dermographism,Vitamin B6 Deficiency
Porphyrias,Vitamin B6 Deficiency
Intertrigo,Vitamin B6 Deficiency
Perioral Dermatitis,Vitamin B6 Deficiency
Neurotic Excoriations,Vitamin B6 Deficiency
Alopecia Areata,Vitamin B7 Deficiency
Acute Paronychia,Vitamin B7 Deficiency
Distal Subungual Onychomycosis,Vitamin B7 Deficiency
Habit-Tic Deformity,Vitamin B7 Deficiency
Median Nail Dystrophy,Vitamin B7 Deficiency
Ridging Beading,Vitamin B7 Deficiency
Genital Warts,Vitamin B9 Deficiency
Rosacea,Vitamin B9 Deficiency
folate defficient,Vitamin B9 Deficiency
Warts,Vitamin B12 Deficiency
Erythema Multiforme,Vitamin B12 Deficiency
Erythema nodosum,Vitamin B12 Deficiency
Pyoderma gangrenosum,Vitamin B12 Deficiency
lentigo-adults,Vitamin B12 Deficiency
Vitiligo,Vitamin B12 Deficiency
Drug Eruptions,Vitamin B12 Deficiency
Lichen Planus,Vitamin B12 Deficiency
Mucous Cyst,Vitamin B12 Deficiency
Chilblains perniosis,Vitamin B12 Deficiency
Schamberg's Disease,Vitamin C Deficiency
Angiokeratomas,Vitamin C Deficiency
Pyogenic Granuloma,Vitamin C Deficiency
Venous Lake,Vitamin C Deficiency
Rhus Dermatitis,Vitamin C Deficiency
Epidermolysis Bullosa,Vitamin C Deficiency
Stasis dermatitis,Vitamin C Deficiency
Chronic Paronychia,Vitamin C Deficiency
Splinter Hemmorrage,Vitamin C Deficiency
Scurvy,Vitamin C Deficiency
Syringoma,Vitamin C Deficiency
Chondrodermatitis Nodularis,Vitamin C Deficiency
Herpes zoster,Vitamin D Deficiency
Recurrent Herpe,Vitamin D Deficiency
Eczema herpeticum,Vitamin D Deficiency
Cutaneous herpes,Vitamin D Deficiency
herpes buttocks,Vitamin D Deficiency
Varicella,Vitamin D Deficiency
herpes-type-1-primary,Vitamin D Deficiency
Vasculitis,Vitamin D Deficiency
Henoch-Schonlein purpura,Vitamin D Deficiency
Hemangioma,Vitamin D Deficiency
Infantile Hemangiomas,Vitamin D Deficiency
Hives-Urticaria-Acute,Vitamin D Deficiency
Tinea Versicolor,Vitamin D Deficiency
Candidiasis,Vitamin D Deficiency
Tinea,Vitamin D Deficiency
Bullous pemphigoid,Vitamin D Deficiency
eczema,Vitamin D Deficiency
Lupus Chronic,Vitamin D Deficiency
Morphea,Vitamin D Deficiency
Dermatomyositis,Vitamin D Deficiency
Lupus,Vitamin D Deficiency
Melanocytic Nevi,Vitamin D Deficiency
Sun Damaged Skin,Vitamin E Deficiency
Benign Familial Chronic Pemphigus,Vitamin E Deficiency
Yellow Nails,Vitamin E Deficiency
Flaky Skin,Vitamin E Deficiency
Venous Malformations,Vitamin K Deficiency
Hemangioma Infancy,Vitamin K Deficiency
Blood Cloth Problems,Vitamin K Deficiency
